"Subj_idx","Stimulus","Response","Confidence","RT_dec","RT_conf","Coherence","Accuracy","Training","cond","Int.Block","five_s_to","exclude_subj"
101,1,"0",30,3.1073401405206,0.849314526779577,0.064,0,0,"Expt","Pre",TRUE,FALSE
101,1,"1",50,1.35908291637385,0.483264733184129,0.256,1,0,"Expt","Pre",TRUE,FALSE
101,0,"0",50,2.58379828990158,0.449818349219393,0.128,1,0,"Expt","Pre",TRUE,FALSE
101,0,"0",30,3.37989932607347,0.466647045061924,0.256,1,0,"Expt","Pre",TRUE,FALSE
101,0,"0",50,2.60360343227163,0.468472759929486,0.256,1,0,"Expt","Pre",TRUE,FALSE
101,1,"0",20,3.31000837691547,0.452011440905277,0.032,0,0,"Expt","Pre",TRUE,FALSE
101,1,"1",50,1.40715675398242,0.682665821428411,0.128,1,0,"Expt","Pre",TRUE,FALSE
101,1,"1",50,2.90120461560553,0.415806561162695,0.032,1,0,"Expt","Pre",TRUE,FALSE
101,1,"1",50,1.32888798327651,0.382353837910574,0.256,1,0,"Expt","Pre",TRUE,FALSE
101,0,"0",20,2.5836398077081,0.481967292294372,0.064,1,0,"Expt","Pre",TRUE,FALSE
101,0,"1",30,2.14071709419135,0.336138015349861,0.032,0,0,"Expt","Pre",TRUE,FALSE
101,0,"0",20,2.13693284128373,1.08448097081669,0.128,1,0,"Expt","Pre",TRUE,FALSE
101,0,"0",50,2.39653180586733,0.481923521021381,0.128,1,0,"Expt","Pre",TRUE,FALSE
101,1,"1",50,2.07213415140286,0.550214252831414,0.256,1,0,"Expt","Pre",TRUE,FALSE
101,1,"0",50,2.24224833405018,0.348297976710368,0.064,0,0,"Expt","Pre",TRUE,FALSE
101,1,"0",30,3.45249986793147,0.981862995916978,0.064,0,0,"Expt","Pre",TRUE,FALSE
101,0,"0",30,3.35210336057749,0.417818228470627,0.032,1,0,"Expt","Pre",TRUE,FALSE
101,1,"1",50,1.83055355566088,0.4517050419976,0.128,1,0,"Expt","Pre",TRUE,FALSE
101,1,"1",50,1.62924011561647,0.449031975668855,0.256,1,0,"Expt","Pre",TRUE,FALSE
101,0,"0",50,2.27637573864032,0.466083452194929,0.064,1,0,"Expt","Pre",TRUE,FALSE
101,0,"0",20,2.83583840853721,0.466559804387391,0.128,1,0,"Expt","Pre",TRUE,FALSE
101,1,"1",50,2.23026798584266,0.383948923453223,0.032,1,0,"Expt","Pre",TRUE,FALSE
101,0,"0",50,1.24760442844545,0.369356788698118,0.256,1,0,"Expt","Pre",TRUE,FALSE
101,0,"0",30,2.35284022730868,0.383167983578518,0.064,1,0,"Expt","Pre",TRUE,FALSE
101,0,"0",50,1.96740247685043,0.4181883221264,0.128,1,0,"Expt","Pre",TRUE,FALSE
101,1,"0",20,3.2592080418393,0.45134913627198,0.064,0,0,"Expt","Pre",TRUE,FALSE
101,1,"1",50,1.44681201747805,0.48218645052705,0.128,1,0,"Expt","Pre",TRUE,FALSE
101,1,"0",20,2.13958387104096,0.654063257035799,0.032,0,0,"Expt","Pre",TRUE,FALSE
101,0,"1",50,1.81020685699629,0.667036760322284,0.032,0,0,"Expt","Pre",TRUE,FALSE
101,0,"0",20,3.54645747017162,0.667272219580598,0.128,1,0,"Expt","Pre",TRUE,FALSE
101,1,"1",20,2.25461598255159,0.684798538944684,0.032,1,0,"Expt","Pre",TRUE,FALSE
101,1,"1",10,1.56624751899904,0.768095572309569,0.064,1,0,"Expt","Pre",TRUE,FALSE
101,0,"0",30,1.95237806304544,0.499613756254315,0.032,1,0,"Expt","Pre",TRUE,FALSE
101,1,"1",50,2.41743273940217,0.468123495362699,0.064,1,0,"Expt","Pre",TRUE,FALSE
101,0,"0",50,1.49924336072803,0.714967813021503,0.256,1,0,"Expt","Pre",TRUE,FALSE
101,0,"0",40,3.03235964892432,0.718280543669593,0.128,1,0,"Expt","Pre",TRUE,FALSE
101,1,"1",50,1.62368599394755,0.953757914676331,0.256,1,0,"Expt","Pre",TRUE,FALSE
101,0,"0",30,2.9022400326021,0.782568468080834,0.128,1,0,"Expt","Pre",TRUE,FALSE
101,1,"1",50,1.35544567456795,0.318306202691514,0.256,1,0,"Expt","Pre",TRUE,FALSE
101,0,"0",50,1.10602428550972,0.801252764005214,0.256,1,0,"Expt","Pre",TRUE,FALSE
101,1,"1",50,1.11663685692055,0.394980491597205,0.256,1,0,"Expt","Pre",TRUE,FALSE
101,0,"0",30,0.98642577373283,0.548287109360099,0.128,1,0,"Expt","Pre",TRUE,FALSE
101,0,"1",20,2.22908706709836,0.436519731033128,0.064,0,0,"Expt","Pre",TRUE,FALSE
101,1,"1",50,1.99199770578137,0.634453123231418,0.256,1,0,"Expt","Pre",TRUE,FALSE
101,1,"1",50,1.87888820967916,0.399974039107561,0.256,1,0,"Expt","Pre",TRUE,FALSE
101,1,"1",50,1.71844778011786,0.352495188933797,0.256,1,0,"Expt","Pre",TRUE,FALSE
101,1,"1",10,2.80975857879175,0.686103828477208,0.128,1,0,"Expt","Pre",TRUE,FALSE
101,1,"0",20,3.26458164474322,0.482988521361258,0.032,0,0,"Expt","Pre",TRUE,FALSE
101,0,"0",20,2.38878187567461,0.469596625084057,0.064,1,0,"Expt","Pre",TRUE,FALSE
101,1,"1",40,2.0719777823058,0.336422679556534,0.128,1,0,"Expt","Pre",TRUE,FALSE
101,0,"1",30,3.98147841246147,0.76733878210187,0.032,0,0,"Expt","Pre",TRUE,FALSE
101,1,"1",20,2.61141705721198,0.501510410770774,0.128,1,0,"Expt","Pre",TRUE,FALSE
101,1,"0",30,2.54297327688336,0.432622880300507,0.064,0,0,"Expt","Pre",TRUE,FALSE
101,1,"1",30,1.86416566671943,0.514933399744332,0.064,1,0,"Expt","Pre",TRUE,FALSE
101,1,"1",40,1.95362388402177,0.61625091504585,0.032,1,0,"Expt","Pre",TRUE,FALSE
101,1,"0",10,3.0179259963627,0.684264529420994,0.032,0,0,"Expt","Pre",TRUE,FALSE
101,0,"0",20,2.90852437984385,0.33222999539692,0.032,1,0,"Expt","Pre",TRUE,FALSE
101,1,"1",50,1.85467213052884,0.549111518636346,0.128,1,0,"Expt","Pre",TRUE,FALSE
101,1,"0",20,3.00162798946444,0.50070984929055,0.032,0,0,"Expt","Pre",TRUE,FALSE
101,0,"0",50,1.98256484563043,0.436915181839839,0.128,1,0,"Expt","Pre",TRUE,FALSE
101,1,"0",50,2.946463809459,0.750608194283675,0.064,0,0,"Expt","Pre",TRUE,FALSE
101,1,"0",10,3.55330058034649,0.649691261593718,0.032,0,0,"Expt","Pre",TRUE,FALSE
101,1,"1",50,1.3324708883306,0.831953632637858,0.256,1,0,"Expt","Pre",TRUE,FALSE
101,0,"0",20,2.84762012572912,0.517546695646364,0.064,1,0,"Expt","Pre",TRUE,FALSE
101,1,"0",50,1.66738572301855,0.448407706762664,0.256,0,0,"Expt","Pre",TRUE,FALSE
101,0,"0",50,2.63941316307802,0.482002309311647,0.064,1,0,"Expt","Pre",TRUE,FALSE
101,0,"0",20,3.12843940320145,0.566098998543806,0.064,1,0,"Expt","Pre",TRUE,FALSE
101,0,"0",20,2.42024074199842,0.565924215324223,0.128,1,0,"Expt","Pre",TRUE,FALSE
101,1,"1",50,1.7512505754414,0.315606571727898,0.256,1,0,"Expt","Pre",TRUE,FALSE
101,0,"0",10,3.30342940372927,0.400534915136639,0.032,1,0,"Expt","Pre",TRUE,FALSE
101,1,"1",50,2.654844800652,0.454663074403536,0.256,1,0,"Expt","Post",TRUE,FALSE
101,0,"0",50,2.26719222380733,0.732476623876952,0.128,1,0,"Expt","Post",TRUE,FALSE
101,0,"0",50,1.7816450451673,0.498815911612008,0.256,1,0,"Expt","Post",TRUE,FALSE
101,1,"1",50,2.14380794976884,0.418659542514943,0.064,1,0,"Expt","Post",TRUE,FALSE
101,0,"0",50,2.78043786366004,0.599540552574676,0.256,1,0,"Expt","Post",TRUE,FALSE
101,0,"0",50,2.0092776985364,0.54938652297575,0.128,1,0,"Expt","Post",TRUE,FALSE
101,1,"0",10,3.06847487302544,0.580935950553045,0.064,0,0,"Expt","Post",TRUE,FALSE
101,0,"0",10,3.33203045876836,0.436417698687874,0.064,1,0,"Expt","Post",TRUE,FALSE
101,1,"1",20,2.58098364614695,0.534414030957036,0.032,1,0,"Expt","Post",TRUE,FALSE
101,0,"0",20,3.11148392160377,0.330849540024064,0.032,1,0,"Expt","Post",TRUE,FALSE
101,0,"0",40,2.54867591900798,0.502700385640375,0.064,1,0,"Expt","Post",TRUE,FALSE
101,1,"0",20,3.41552974559832,0.531925407714676,0.064,0,0,"Expt","Post",TRUE,FALSE
