decoder,study_name,accuracy_train,accuracy_test,fold,score,n_sample,weight T-7 C-0,weight T-7 C-1,weight T-7 C-2,weight T-7 C-3,weight T-6 C-0,weight T-6 C-1,weight T-6 C-2,weight T-6 C-3,weight T-5 C-0,weight T-5 C-1,weight T-5 C-2,weight T-5 C-3,weight T-4 C-0,weight T-4 C-1,weight T-4 C-2,weight T-4 C-3,weight T-3 C-0,weight T-3 C-1,weight T-3 C-2,weight T-3 C-3,weight T-2 C-0,weight T-2 C-1,weight T-2 C-2,weight T-2 C-3,weight T-1 C-0,weight T-1 C-1,weight T-1 C-2,weight T-1 C-3,hidden_state T-7,hidden_state T-6,hidden_state T-5,hidden_state T-4,hidden_state T-3,hidden_state T-2,hidden_state T-1
RNN,data_Sherman_2016_JOCN,Incorrect trials,Correct trials,8.5,0.5995623406755968,1613.4444444444443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12000329378578398,0.1923026479780674,0.2402391938699616,0.2725801252656513,0.2944709774520662,0.3093186500999663,0.3209345332450336
RNN,data_Sherman_2016_JOCN,Incorrect trials,Incorrect trials,8.5,0.5905931969830419,723.8055555555555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12274061847064227,0.19514154249595272,0.24465633970167902,0.2770393097566234,0.29891082147757214,0.3166299532685015,0.32545484768019783
RNN,data_Siedlecka_2019,Correct trials,Correct trials,18.0,0.6785581820664024,1142.3513513513512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18758283288696329,0.2645132556759022,0.3001685487358151,0.31626004730728835,0.32560933220225413,0.3321753723446179,0.33340893303220337
RNN,data_Siedlecka_2019,Correct trials,Incorrect trials,18.0,0.654312363119425,106.64864864864865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1887520456032173,0.2589815615399464,0.2976319079060812,0.31451066633736763,0.31860051978681536,0.32102463062147835,0.3162530083712694
RNN,data_Siedlecka_2019,Incorrect trials,Correct trials,18.0,0.6387383358283394,278.56756756756755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14727662418138338,0.22950197957657478,0.27730694594415456,0.3047905897067205,0.3231417986790876,0.3361462841464861,0.34239614870701285
RNN,data_Siedlecka_2019,Incorrect trials,Incorrect trials,18.0,0.6703210578780903,437.44594594594594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14723716098563494,0.22756238994062752,0.27654152335850773,0.303811686692407,0.31836383558205655,0.32750069017748573,0.332912330037436
RNN,data_Wierzchon_2014,Correct trials,Correct trials,77.0,0.6775668011400436,5524.270967741935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2885744213325632,-0.39673849251684584,-0.4418819826727192,-0.461703604001612,-0.4723289205657033,-0.4783800513753968,-0.48132496433512817
RNN,data_Wierzchon_2014,Correct trials,Incorrect trials,77.0,0.5766883962478874,22.87741935483871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.30858265265086365,-0.41230714328046286,-0.46200420411243553,-0.48483891844028426,-0.4939617394920318,-0.4909736745810557,-0.507217694993221
RNN,data_Wierzchon_2014,Incorrect trials,Correct trials,77.0,0.6103518499030814,347.4258064516129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2010414764435301,-0.32538578795689727,-0.4027195837589041,-0.4515537283112926,-0.4837308931757786,-0.5059986072382139,-0.5210002592975094
RNN,data_Wierzchon_2014,Incorrect trials,Incorrect trials,77.0,0.6459568945000754,363.9516129032258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.20799674539978902,-0.3331761607757559,-0.41242778337590635,-0.46365870316813307,-0.49660534849014853,-0.5146429396745178,-0.5341900028964325
RNN,data_vanBoxtel_2019_Expt1,Correct trials,Correct trials,22.0,0.6136036113719409,6140.2444444444445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.05969869692602919,-0.08978836535372665,-0.10588395131958855,-0.11441955355306467,-0.11956595057207677,-0.12153008402221731,-0.12336891529460749
RNN,data_vanBoxtel_2019_Expt1,Correct trials,Incorrect trials,22.0,0.6428324648845913,339.93333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.059817442336740585,-0.09332205660304882,-0.10812930587562733,-0.11658114813682106,-0.1177606803572012,-0.12130489097908137,-0.1243351613999241
RNN,data_vanBoxtel_2019_Expt1,Incorrect trials,Correct trials,22.0,0.5633680692452138,1253.0666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.04780699504254798,-0.08016274467938475,-0.1036314964811835,-0.12065308064532777,-0.1336132023586995,-0.14291949285608196,-0.1497931452985439
RNN,data_vanBoxtel_2019_Expt1,Incorrect trials,Incorrect trials,22.0,0.6258912733381314,1665.8777777777777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.04768632839485588,-0.08174264245608356,-0.10520945400801589,-0.12207324663581351,-0.13354379897419777,-0.14269303173447648,-0.1495791148083905
RNN,data_vanBoxtel_2019_Expt2,Correct trials,Correct trials,18.0,0.6533902540919589,4668.324324324324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06802454528499494,0.08190179198376231,0.0859317554513345,0.0881539722652854,0.08836696728610911,0.08791242896050618,0.08641289038633979
RNN,data_vanBoxtel_2019_Expt2,Correct trials,Incorrect trials,18.0,0.6118040220375195,454.43243243243245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06785403930808642,0.08265420530192755,0.09052408124144011,0.09020154965991103,0.09169340095969665,0.09326256191156602,0.09497897982647692
