experiment,condition,slope,model,accuracy
data_Bang_2019_Exp1,RNN_incorrect,0.006435426479790149,RNN,incorrect
data_Bang_2019_Exp1,RNN_incorrect,0.006148418130766377,RNN,incorrect
data_Bang_2019_Exp1,RNN_incorrect,0.005934264888008306,RNN,incorrect
data_Bang_2019_Exp1,RNN_incorrect,0.005678347556338912,RNN,incorrect
data_Bang_2019_Exp1,RNN_incorrect,0.005397429890430065,RNN,incorrect
data_Bang_2019_Exp1,RNN_incorrect,0.005300510698598449,RNN,incorrect
data_Bang_2019_Exp1,RNN_incorrect,0.006112939907309199,RNN,incorrect
data_Bang_2019_Exp1,RNN_incorrect,0.006001049997340083,RNN,incorrect
data_Bang_2019_Exp1,RNN_incorrect,0.0059804595502060175,RNN,incorrect
data_Bang_2019_Exp1,RNN_incorrect,0.005901912248565957,RNN,incorrect
data_Bang_2019_Exp1,RNN_incorrect,0.0058072108929997455,RNN,incorrect
data_Bang_2019_Exp1,RNN_incorrect,0.005722606295660758,RNN,incorrect
data_Bang_2019_Exp1,RNN_incorrect,0.005737660305170763,RNN,incorrect
data_Bang_2019_Exp1,RNN_incorrect,0.005613261224672936,RNN,incorrect
data_Bang_2019_Exp1,RNN_incorrect,0.00575121311053403,RNN,incorrect
data_Bang_2019_Exp1,RNN_incorrect,0.005806391423151712,RNN,incorrect
data_Bang_2019_Exp1,RNN_incorrect,0.005902600992974964,RNN,incorrect
data_Bang_2019_Exp1,RNN_incorrect,0.006040950379102956,RNN,incorrect
data_Bang_2019_Exp1,RNN_incorrect,0.006292438670777404,RNN,incorrect
data_Bang_2019_Exp1,RNN_incorrect,0.0068361746498326464,RNN,incorrect
data_Bang_2019_Exp1,RNN_incorrect,0.006167309965992514,RNN,incorrect
data_Bang_2019_Exp1,RNN_incorrect,0.006096077727134306,RNN,incorrect
data_Bang_2019_Exp1,RNN_incorrect,0.006065197841550625,RNN,incorrect
data_Bang_2019_Exp1,RNN_incorrect,0.005912397773216409,RNN,incorrect
data_Bang_2019_Exp1,RNN_incorrect,0.005681221496645276,RNN,incorrect
data_Bang_2019_Exp1,RNN_incorrect,0.005426438746044309,RNN,incorrect
data_Bang_2019_Exp1,RNN_incorrect,0.005407589134350779,RNN,incorrect
data_Bang_2019_Exp1,RNN_incorrect,0.0069025186246560845,RNN,incorrect
data_Bang_2019_Exp1,RNN_incorrect,0.006668229682785676,RNN,incorrect
data_Bang_2019_Exp1,RNN_incorrect,0.006341520829791688,RNN,incorrect
data_Bang_2019_Exp1,RNN_incorrect,0.005954592001021752,RNN,incorrect
data_Bang_2019_Exp1,RNN_incorrect,0.00556444891175808,RNN,incorrect
data_Bang_2019_Exp1,RNN_incorrect,0.005130586480968698,RNN,incorrect
data_Bang_2019_Exp1,RNN_incorrect,0.004685343655279346,RNN,incorrect
data_Bang_2019_Exp2,RF_correct,0.002090713374823088,RF,correct
data_Bang_2019_Exp2,RF_correct,0.002084079425989853,RF,correct
data_Bang_2019_Exp2,RF_correct,0.0020697980742256272,RF,correct
data_Bang_2019_Exp2,RF_correct,0.002062109000751155,RF,correct
data_Bang_2019_Exp2,RF_correct,0.0020522750659052566,RF,correct
data_Bang_2019_Exp2,RF_correct,0.0020348243953821157,RF,correct
data_Bang_2019_Exp2,RF_correct,0.0020199456948939505,RF,correct
data_Bang_2019_Exp2,RF_correct,0.0020640201125359764,RF,correct
data_Bang_2019_Exp2,RF_correct,0.00206174967675514,RF,correct
data_Bang_2019_Exp2,RF_correct,0.002060546641260779,RF,correct
data_Bang_2019_Exp2,RF_correct,0.0020620229168258424,RF,correct
data_Bang_2019_Exp2,RF_correct,0.0020632402169131155,RF,correct
data_Bang_2019_Exp2,RF_correct,0.00206415012378313,RF,correct
data_Bang_2019_Exp2,RF_correct,0.0020512710128263068,RF,correct
data_Bang_2019_Exp2,RF_correct,0.002047917524720837,RF,correct
data_Bang_2019_Exp2,RF_correct,0.002053067295235631,RF,correct
data_Bang_2019_Exp2,RF_correct,0.0020615225120177256,RF,correct
data_Bang_2019_Exp2,RF_correct,0.0020620116472278875,RF,correct
data_Bang_2019_Exp2,RF_correct,0.0020714765832509988,RF,correct
data_Bang_2019_Exp2,RF_correct,0.0020706406496811152,RF,correct
data_Bang_2019_Exp2,RF_correct,0.0020622164544069925,RF,correct
data_Bang_2019_Exp2,RF_correct,0.002060074715063403,RF,correct
data_Bang_2019_Exp2,RF_correct,0.0020628815190577745,RF,correct
data_Bang_2019_Exp2,RF_correct,0.0020706057300420512,RF,correct
data_Bang_2019_Exp2,RF_correct,0.0020620409072723144,RF,correct
data_Bang_2019_Exp2,RF_correct,0.002066257760112658,RF,correct
data_Bang_2019_Exp2,RF_correct,0.002059335239332097,RF,correct
data_Bang_2019_Exp2,RF_correct,0.0020551500671755177,RF,correct
